Gene	Sample	Value
MYB	NKI_322	-0.089
B3GNT5	NKI_322	-0.169
CELSR1	NKI_322	0.069
NAT1	NKI_322	-0.339
MAGED2	NKI_322	0.19
VAV3	NKI_322	-0.307
FBP1	NKI_322	0.007
BCL11A	NKI_322	-0.318
SOD2	NKI_322	-0.383
AGR2	NKI_322	-0.16
ERBB4	NKI_322	0.158
TNFRSF21	NKI_322	-0.48
PHGDH	NKI_322	-0.192
TFF3	NKI_322	-0.323
STS-1	NKI_322	-0.191
TCEAL1	NKI_322	-0.129
GABRP	NKI_322	-0.482
FLJ21127	NKI_322	0.136
BCL2	NKI_322	0.25
MOAP1	NKI_322	0.114
ACOT4	NKI_322	0.25
YBX1	NKI_322	-0.304
SOD2	NKI_322	-0.411
MREG	NKI_322	0.058
CDH3	NKI_322	-0.588
C10orf38	NKI_322	-0.287
RARRES1	NKI_322	-0.311
ABTB2	NKI_322	-0.088
RERG	NKI_322	0.459
ST8SIA1	NKI_322	-0.199
SIRPA	NKI_322	0.144
MICALL1	NKI_322	0.146
CDCA7	NKI_322	-1.011
ERBB4	NKI_322	0.094
QSCN6L1	NKI_322	-0.122
CYP2B6	NKI_322	0.222
CIRBP	NKI_322	-0.003
ERBB3	NKI_322	0.084
CHCHD5	NKI_322	0.162
LOC124220	NKI_322	0.009
TMCC2	NKI_322	-0.313
DACH1	NKI_322	0.398
HMGCL	NKI_322	0.021
NCOA7	NKI_322	-0.26
FSCN1	NKI_322	-0.131
KCNN4	NKI_322	-0.623
CPEB2	NKI_322	0.326
CYP2B6	NKI_322	0.41
AKR7A3	NKI_322	-0.188
FLJ20273	NKI_322	0.095
JMJD2B	NKI_322	0.14
CDK2AP1	NKI_322	-0.011
HEXIM1	NKI_322	-0.161
SH2D2A	NKI_322	-0.349
IFNAR2	NKI_322	-0.174
ASNS	NKI_322	-0.045
MLZE	NKI_322	-0.237
SKP1A	NKI_322	0.358
MYO5C	NKI_322	0.174
APOBEC3B	NKI_322	0.278
LRBA	NKI_322	0.339
UBXD3	NKI_322	0.009
DSC2	NKI_322	-0.268
TEGT	NKI_322	0.12
EML4	NKI_322	-0.317
KARCA1	NKI_322	-0.133
GATA3	NKI_323	-0.179
CA12	NKI_323	0.157
THSD4	NKI_323	-0.125
AFF3	NKI_323	0.262
TBC1D9	NKI_323	-0.04
FOXA1	NKI_323	-0.142
GREB1	NKI_323	-0.129
DNALI1	NKI_323	0.306
VGLL1	NKI_323	-0.577
PRR15	NKI_323	-0.156
SLC7A2	NKI_323	0.002
XBP1	NKI_323	0.022
SCUBE2	NKI_323	-0.489
MYB	NKI_323	-0.25
B3GNT5	NKI_323	0.089
CELSR1	NKI_323	-0.281
NAT1	NKI_323	0.451
MAGED2	NKI_323	-0.194
VAV3	NKI_323	0.116
FBP1	NKI_323	-0.049
BCL11A	NKI_323	-0.068
SOD2	NKI_323	-0.021
AGR2	NKI_323	0.552
ERBB4	NKI_323	0.104
TNFRSF21	NKI_323	-0.037
PHGDH	NKI_323	-0.385
TFF3	NKI_323	0.353
STS-1	NKI_323	-0.048
TCEAL1	NKI_323	0.025
GABRP	NKI_323	-0.249
FLJ21127	NKI_323	-0.012
BCL2	NKI_323	0.057
MOAP1	NKI_323	0.008
ACOT4	NKI_323	0.187
YBX1	NKI_323	-0.193
SOD2	NKI_323	-0.073
MREG	NKI_323	0.02
CDH3	NKI_323	-0.332
C10orf38	NKI_323	-0.046
RARRES1	NKI_323	-0.369
ABTB2	NKI_323	0.042
RERG	NKI_323	-0.141
ST8SIA1	NKI_323	-0.104
SIRPA	NKI_323	-0.159
MICALL1	NKI_323	-0.26
CDCA7	NKI_323	-0.628
ERBB4	NKI_323	0.127
QSCN6L1	NKI_323	-0.266
CYP2B6	NKI_323	-0.487
CIRBP	NKI_323	0.33
ERBB3	NKI_323	-0.167
CHCHD5	NKI_323	0.142
LOC124220	NKI_323	0.387
TMCC2	NKI_323	-0.313
DACH1	NKI_323	-0.301
HMGCL	NKI_323	0.06
NCOA7	NKI_323	0.262
FSCN1	NKI_323	-0.271
KCNN4	NKI_323	0.085
CPEB2	NKI_323	0.232
CYP2B6	NKI_323	-0.499
AKR7A3	NKI_323	-0.148
FLJ20273	NKI_323	-0.024
JMJD2B	NKI_323	-0.171
CDK2AP1	NKI_323	0.004
HEXIM1	NKI_323	0.153
SH2D2A	NKI_323	-0.113
IFNAR2	NKI_323	0.1
ASNS	NKI_323	-0.397
MLZE	NKI_323	-0.113
SKP1A	NKI_323	-0.003
MYO5C	NKI_323	0.29
APOBEC3B	NKI_323	-0.17
LRBA	NKI_323	0.035
UBXD3	NKI_323	0.19
DSC2	NKI_323	-0.322
TEGT	NKI_323	0.029
EML4	NKI_323	0.041
KARCA1	NKI_323	-0.002
GATA3	NKI_324	-0.254
CA12	NKI_324	-0.877
THSD4	NKI_324	-0.823
AFF3	NKI_324	-1.027
TBC1D9	NKI_324	-0.956
FOXA1	NKI_324	-1.334
GREB1	NKI_324	-0.594
DNALI1	NKI_324	-0.982
VGLL1	NKI_324	0.258
PRR15	NKI_324	-1.077
SLC7A2	NKI_324	-0.797
XBP1	NKI_324	-0.868
SCUBE2	NKI_324	-0.921
MYB	NKI_324	-0.424
B3GNT5	NKI_324	0.431
CELSR1	NKI_324	-0.554
NAT1	NKI_324	-0.795
MAGED2	NKI_324	-0.461
VAV3	NKI_324	-0.676
FBP1	NKI_324	-0.85
BCL11A	NKI_324	0.587
SOD2	NKI_324	0.219
AGR2	NKI_324	-0.848
ERBB4	NKI_324	-0.772
TNFRSF21	NKI_324	0.133
PHGDH	NKI_324	1.259
TFF3	NKI_324	-1.046
STS-1	NKI_324	0.113
TCEAL1	NKI_324	-0.511
GABRP	NKI_324	1.037
FLJ21127	NKI_324	-0.351
BCL2	NKI_324	-0.247
MOAP1	NKI_324	-0.517
ACOT4	NKI_324	-0.716
YBX1	NKI_324	0.298
SOD2	NKI_324	-0.074
MREG	NKI_324	-0.311
CDH3	NKI_324	0.186
C10orf38	NKI_324	0.798
RARRES1	NKI_324	-0.187
ABTB2	NKI_324	-0.043
RERG	NKI_324	-0.074
ST8SIA1	NKI_324	0.464
SIRPA	NKI_324	0.047
MICALL1	NKI_324	0.135
CDCA7	NKI_324	0.421
ERBB4	NKI_324	-0.248
QSCN6L1	NKI_324	0.226
CYP2B6	NKI_324	-0.751
CIRBP	NKI_324	-0.009
ERBB3	NKI_324	0.054
CHCHD5	NKI_324	-0.274
LOC124220	NKI_324	-0.719
TMCC2	NKI_324	0.492
DACH1	NKI_324	-0.323
HMGCL	NKI_324	-0.005
NCOA7	NKI_324	0.228
FSCN1	NKI_324	0.585
KCNN4	NKI_324	0.404
CPEB2	NKI_324	-0.545
CYP2B6	NKI_324	-0.865
AKR7A3	NKI_324	-0.722
FLJ20273	NKI_324	-0.432
JMJD2B	NKI_324	-0.174
CDK2AP1	NKI_324	0.219
HEXIM1	NKI_324	-0.308
SH2D2A	NKI_324	0.466
IFNAR2	NKI_324	0.167
ASNS	NKI_324	0.253
MLZE	NKI_324	-0.005
SKP1A	NKI_324	-0.369
MYO5C	NKI_324	-0.667
APOBEC3B	NKI_324	-0.247
LRBA	NKI_324	0.157
UBXD3	NKI_324	-0.378
DSC2	NKI_324	0.426
TEGT	NKI_324	-0.307
EML4	NKI_324	0.351
KARCA1	NKI_324	-0.954
GATA3	NKI_325	0.072
CA12	NKI_325	-0.346
THSD4	NKI_325	-0.086
AFF3	NKI_325	-0.25
TBC1D9	NKI_325	0.189
FOXA1	NKI_325	0.066
GREB1	NKI_325	-0.015
DNALI1	NKI_325	-0.226
VGLL1	NKI_325	-0.819
PRR15	NKI_325	-0.086
SLC7A2	NKI_325	0.225
XBP1	NKI_325	0.229
SCUBE2	NKI_325	0.138
MYB	NKI_325	-0.077
B3GNT5	NKI_325	-0.228
CELSR1	NKI_325	0.036
NAT1	NKI_325	-0.414
MAGED2	NKI_325	0.051
VAV3	NKI_325	0.032
FBP1	NKI_325	0.104
BCL11A	NKI_325	-0.493
SOD2	NKI_325	-0.282
AGR2	NKI_325	-0.096
ERBB4	NKI_325	-0.532
TNFRSF21	NKI_325	-0.276
PHGDH	NKI_325	-0.013
TFF3	NKI_325	-0.045
STS-1	NKI_325	-0.102
TCEAL1	NKI_325	0.225
GABRP	NKI_325	-0.849
FLJ21127	NKI_325	-0.091
BCL2	NKI_325	0.023
MOAP1	NKI_325	0.229
ACOT4	NKI_325	-0.041
YBX1	NKI_325	-0.163
SOD2	NKI_325	-0.38
MREG	NKI_325	0.081
CDH3	NKI_325	-0.04
C10orf38	NKI_325	0.004
RARRES1	NKI_325	-0.356
ABTB2	NKI_325	-0.05
RERG	NKI_325	-0.061
ST8SIA1	NKI_325	-0.198
SIRPA	NKI_325	-0.13
MICALL1	NKI_325	-0.101
CDCA7	NKI_325	-0.7
ERBB4	NKI_325	-0.599
QSCN6L1	NKI_325	-0.192
CYP2B6	NKI_325	-0.647
CIRBP	NKI_325	0.262
ERBB3	NKI_325	-0.153
CHCHD5	NKI_325	0.161
LOC124220	NKI_325	-0.054
TMCC2	NKI_325	-0.106
DACH1	NKI_325	0.203
HMGCL	NKI_325	0.127
NCOA7	NKI_325	-0.33
FSCN1	NKI_325	0.056
KCNN4	NKI_325	-0.567
CPEB2	NKI_325	-0.003
CYP2B6	NKI_325	-0.657
AKR7A3	NKI_325	0.519
FLJ20273	NKI_325	-0.001
JMJD2B	NKI_325	0.09
CDK2AP1	NKI_325	-0.082
HEXIM1	NKI_325	0.209
SH2D2A	NKI_325	-0.202
IFNAR2	NKI_325	0.06
ASNS	NKI_325	-0.224
MLZE	NKI_325	-0.029
SKP1A	NKI_325	0.099
MYO5C	NKI_325	0.161
APOBEC3B	NKI_325	-0.035
LRBA	NKI_325	0.04
UBXD3	NKI_325	0.086
DSC2	NKI_325	-0.393
TEGT	NKI_325	-0.008
EML4	NKI_325	-0.162
KARCA1	NKI_325	-0.162
GATA3	NKI_326	-1.038
CA12	NKI_326	-0.888
THSD4	NKI_326	-0.859
AFF3	NKI_326	-1.042
TBC1D9	NKI_326	-0.862
FOXA1	NKI_326	-1.441
GREB1	NKI_326	-0.693
DNALI1	NKI_326	-1.119
VGLL1	NKI_326	0.641
PRR15	NKI_326	-1.064
SLC7A2	NKI_326	-0.937
XBP1	NKI_326	-0.748
SCUBE2	NKI_326	-1.095
MYB	NKI_326	-0.829
B3GNT5	NKI_326	0.466
CELSR1	NKI_326	-0.499
NAT1	NKI_326	-1.237
MAGED2	NKI_326	-0.436
VAV3	NKI_326	-0.641
FBP1	NKI_326	-0.448
BCL11A	NKI_326	0.337
SOD2	NKI_326	0.464
AGR2	NKI_326	-1.147
ERBB4	NKI_326	-1.024
TNFRSF21	NKI_326	0.417
PHGDH	NKI_326	0.535
TFF3	NKI_326	-1.468
STS-1	NKI_326	0.407
TCEAL1	NKI_326	-0.408
GABRP	NKI_326	0.439
FLJ21127	NKI_326	-0.323
BCL2	NKI_326	-0.677
MOAP1	NKI_326	-0.175
ACOT4	NKI_326	-0.267
YBX1	NKI_326	0.42
SOD2	NKI_326	0.332
MREG	NKI_326	-0.273
CDH3	NKI_326	0.5
C10orf38	NKI_326	0.452
RARRES1	NKI_326	0.638
ABTB2	NKI_326	0.377
RERG	NKI_326	-0.229
ST8SIA1	NKI_326	0.289
SIRPA	NKI_326	0.156
MICALL1	NKI_326	0.283
CDCA7	NKI_326	0.647
ERBB4	NKI_326	-0.441
QSCN6L1	NKI_326	0.355
CYP2B6	NKI_326	-1.066
CIRBP	NKI_326	-0.385
ERBB3	NKI_326	-0.22
CHCHD5	NKI_326	-0.183
LOC124220	NKI_326	-0.964
TMCC2	NKI_326	0.584
DACH1	NKI_326	-0.479
HMGCL	NKI_326	-0.063
NCOA7	NKI_326	0.471
FSCN1	NKI_326	0.211
KCNN4	NKI_326	0.311
CPEB2	NKI_326	-0.523
CYP2B6	NKI_326	-0.951
AKR7A3	NKI_326	-0.99
FLJ20273	NKI_326	-0.077
JMJD2B	NKI_326	-0.223
CDK2AP1	NKI_326	0.502
HEXIM1	NKI_326	-0.303
SH2D2A	NKI_326	0.269
IFNAR2	NKI_326	0.308
ASNS	NKI_326	0.349
MLZE	NKI_326	0.129
SKP1A	NKI_326	-0.186
MYO5C	NKI_326	-0.176
APOBEC3B	NKI_326	0.621
LRBA	NKI_326	-0.303
UBXD3	NKI_326	-0.156
DSC2	NKI_326	0.243
TEGT	NKI_326	-0.184
EML4	NKI_326	0.156
KARCA1	NKI_326	-0.914
GATA3	NKI_327	0.158
CA12	NKI_327	0.103
THSD4	NKI_327	-0.041
AFF3	NKI_327	0.203
TBC1D9	NKI_327	0.033
FOXA1	NKI_327	0.079
GREB1	NKI_327	0.17
DNALI1	NKI_327	0.344
VGLL1	NKI_327	-0.802
PRR15	NKI_327	0.305
SLC7A2	NKI_327	-0.256
XBP1	NKI_327	0.07
SCUBE2	NKI_327	-0.112
MYB	NKI_327	0.136
B3GNT5	NKI_327	-0.241
CELSR1	NKI_327	-0.235
NAT1	NKI_327	-0.235
MAGED2	NKI_327	0.048
VAV3	NKI_327	-0.039
FBP1	NKI_327	0.331
BCL11A	NKI_327	-0.257
SOD2	NKI_327	-0.093
AGR2	NKI_327	0.291
ERBB4	NKI_327	0.266
TNFRSF21	NKI_327	0.174
PHGDH	NKI_327	0.014
TFF3	NKI_327	-0.093
STS-1	NKI_327	-0.029
TCEAL1	NKI_327	0.119
GABRP	NKI_327	-1.035
FLJ21127	NKI_327	-0.075
BCL2	NKI_327	0.136
MOAP1	NKI_327	0.009
ACOT4	NKI_327	0.137
YBX1	NKI_327	-0.093
SOD2	NKI_327	0.003
MREG	NKI_327	0.079
CDH3	NKI_327	-0.534
C10orf38	NKI_327	-0.56
RARRES1	NKI_327	-0.39
ABTB2	NKI_327	-0.047
RERG	NKI_327	0.019
ST8SIA1	NKI_327	-0.051
SIRPA	NKI_327	0.053
MICALL1	NKI_327	-0.062
CDCA7	NKI_327	-0.672
ERBB4	NKI_327	0.305
QSCN6L1	NKI_327	0.276
CYP2B6	NKI_327	0.561
CIRBP	NKI_327	0.089
ERBB3	NKI_327	0.188
CHCHD5	NKI_327	0.095
LOC124220	NKI_327	-0.067
TMCC2	NKI_327	-0.367
DACH1	NKI_327	0.144
HMGCL	NKI_327	0.019
NCOA7	NKI_327	-0.058
FSCN1	NKI_327	-0.359
KCNN4	NKI_327	-0.582
CPEB2	NKI_327	0.146
CYP2B6	NKI_327	0.549
AKR7A3	NKI_327	0.044
FLJ20273	NKI_327	0.288
JMJD2B	NKI_327	0.052
CDK2AP1	NKI_327	-0.052
HEXIM1	NKI_327	-0.197
SH2D2A	NKI_327	0.184
IFNAR2	NKI_327	-0.337
ASNS	NKI_327	-0.079
MLZE	NKI_327	-0.085
SKP1A	NKI_327	-0.081
MYO5C	NKI_327	0.092
APOBEC3B	NKI_327	0.125
LRBA	NKI_327	0.188
UBXD3	NKI_327	-0.043
DSC2	NKI_327	0.031
TEGT	NKI_327	-0.038
EML4	NKI_327	0.068
KARCA1	NKI_327	-0.086
GATA3	NKI_328	0.125
CA12	NKI_328	0.144
THSD4	NKI_328	-0.012
AFF3	NKI_328	0.225
TBC1D9	NKI_328	0.002
FOXA1	NKI_328	-0.039
GREB1	NKI_328	0.262
DNALI1	NKI_328	0.4
VGLL1	NKI_328	-0.898
PRR15	NKI_328	0.392
SLC7A2	NKI_328	0.35
XBP1	NKI_328	-0.11
SCUBE2	NKI_328	0.154
MYB	NKI_328	0.248
B3GNT5	NKI_328	-0.112
CELSR1	NKI_328	-0.167
NAT1	NKI_328	0.275
MAGED2	NKI_328	0.226
VAV3	NKI_328	0.3
FBP1	NKI_328	0.089
BCL11A	NKI_328	-0.849
SOD2	NKI_328	-0.015
AGR2	NKI_328	-0.047
ERBB4	NKI_328	0.49
TNFRSF21	NKI_328	-0.733
PHGDH	NKI_328	-0.898
TFF3	NKI_328	-0.448
STS-1	NKI_328	-0.195
TCEAL1	NKI_328	0.011
GABRP	NKI_328	-1.018
FLJ21127	NKI_328	0.214
BCL2	NKI_328	0.134
MOAP1	NKI_328	0.178
ACOT4	NKI_328	0.246
YBX1	NKI_328	-0.281
SOD2	NKI_328	0.077
MREG	NKI_328	0.367
CDH3	NKI_328	-0.975
C10orf38	NKI_328	-0.559
RARRES1	NKI_328	-0.712
ABTB2	NKI_328	-0.316
RERG	NKI_328	0.21
ST8SIA1	NKI_328	-0.288
SIRPA	NKI_328	-0.189
MICALL1	NKI_328	-0.136
CDCA7	NKI_328	-1.053
ERBB4	NKI_328	0.337
QSCN6L1	NKI_328	-0.424
CYP2B6	NKI_328	-0.494
CIRBP	NKI_328	-0.01
ERBB3	NKI_328	0.206
CHCHD5	NKI_328	0.243
LOC124220	NKI_328	0.496
TMCC2	NKI_328	-0.332
DACH1	NKI_328	-0.684
HMGCL	NKI_328	0.214
NCOA7	NKI_328	-0.593
FSCN1	NKI_328	-0.237
KCNN4	NKI_328	0.371
CPEB2	NKI_328	0.172
CYP2B6	NKI_328	-0.508
AKR7A3	NKI_328	0.076
FLJ20273	NKI_328	0.041
JMJD2B	NKI_328	0.23
CDK2AP1	NKI_328	-0.112
HEXIM1	NKI_328	0.079
SH2D2A	NKI_328	-0.285
IFNAR2	NKI_328	0.028
ASNS	NKI_328	-0.182
MLZE	NKI_328	-0.188
SKP1A	NKI_328	0.087
MYO5C	NKI_328	0.324
APOBEC3B	NKI_328	-0.524
LRBA	NKI_328	0.062
UBXD3	NKI_328	0.468
DSC2	NKI_328	-0.23
TEGT	NKI_328	0.13
EML4	NKI_328	-0.117
KARCA1	NKI_328	0.247
GATA3	NKI_329	-0.11
CA12	NKI_329	0.19
THSD4	NKI_329	0.047
AFF3	NKI_329	0.263
TBC1D9	NKI_329	-0.086
FOXA1	NKI_329	0.076
GREB1	NKI_329	0.265
DNALI1	NKI_329	0.739
VGLL1	NKI_329	-0.629
PRR15	NKI_329	0.082
SLC7A2	NKI_329	-0.364
XBP1	NKI_329	0.169
SCUBE2	NKI_329	-0.283
MYB	NKI_329	0.39
B3GNT5	NKI_329	-0.141
CELSR1	NKI_329	0.24
NAT1	NKI_329	0.05
MAGED2	NKI_329	-0.28
VAV3	NKI_329	0.004
FBP1	NKI_329	-0.059
BCL11A	NKI_329	0.256
SOD2	NKI_329	-0.248
AGR2	NKI_329	-0.123
ERBB4	NKI_329	0.697
TNFRSF21	NKI_329	-0.101
PHGDH	NKI_329	-0.055
TFF3	NKI_329	0.499
STS-1	NKI_329	-0.243
TCEAL1	NKI_329	0.15
GABRP	NKI_329	-0.677
FLJ21127	NKI_329	0.031
BCL2	NKI_329	0.134
MOAP1	NKI_329	0.012
ACOT4	NKI_329	0.082
YBX1	NKI_329	0.398
SOD2	NKI_329	-0.265
MREG	NKI_329	0.239
CDH3	NKI_329	-0.286
C10orf38	NKI_329	-0.32
RARRES1	NKI_329	-0.263
ABTB2	NKI_329	-0.045
RERG	NKI_329	0.407
ST8SIA1	NKI_329	-0.137
SIRPA	NKI_329	-0.333
MICALL1	NKI_329	-0.131
CDCA7	NKI_329	-0.064
ERBB4	NKI_329	0.409
QSCN6L1	NKI_329	0.032
CYP2B6	NKI_329	-0.223
CIRBP	NKI_329	0.054
ERBB3	NKI_329	0.114
CHCHD5	NKI_329	0.165
LOC124220	NKI_329	-0.157
TMCC2	NKI_329	-0.081
DACH1	NKI_329	0.164
HMGCL	NKI_329	-0.114
NCOA7	NKI_329	-0.038
FSCN1	NKI_329	-0.257
KCNN4	NKI_329	-0.235
CPEB2	NKI_329	-0.038
CYP2B6	NKI_329	-0.238
AKR7A3	NKI_329	0.102
FLJ20273	NKI_329	0.193
JMJD2B	NKI_329	0.004
CDK2AP1	NKI_329	0.007
HEXIM1	NKI_329	0.136
SH2D2A	NKI_329	-0.134
IFNAR2	NKI_329	-0.178
ASNS	NKI_329	-0.135
MLZE	NKI_329	-0.057
SKP1A	NKI_329	-0.016
MYO5C	NKI_329	0.129
APOBEC3B	NKI_329	-0.116
LRBA	NKI_329	0.217
UBXD3	NKI_329	0.056
DSC2	NKI_329	-0.102
TEGT	NKI_329	-0.101
EML4	NKI_329	0.058
KARCA1	NKI_329	0.169
GATA3	NKI_330	-0.796
CA12	NKI_330	-1.027
THSD4	NKI_330	-0.817
AFF3	NKI_330	-0.653
TBC1D9	NKI_330	-0.737
FOXA1	NKI_330	-1.628
GREB1	NKI_330	-0.773
DNALI1	NKI_330	-1.054
VGLL1	NKI_330	0.876
PRR15	NKI_330	-1.048
SLC7A2	NKI_330	-0.983
XBP1	NKI_330	-0.56
SCUBE2	NKI_330	-0.95
MYB	NKI_330	-0.52
B3GNT5	NKI_330	0.485
CELSR1	NKI_330	-0.543
NAT1	NKI_330	-1.115
MAGED2	NKI_330	-0.521
VAV3	NKI_330	-0.672
FBP1	NKI_330	-0.614
BCL11A	NKI_330	0.42
SOD2	NKI_330	0.563
AGR2	NKI_330	-1.13
ERBB4	NKI_330	-0.825
TNFRSF21	NKI_330	0.039
PHGDH	NKI_330	0.248
TFF3	NKI_330	-1.211
STS-1	NKI_330	0.102
TCEAL1	NKI_330	-0.354
GABRP	NKI_330	0.856
FLJ21127	NKI_330	-0.341
BCL2	NKI_330	-0.179
MOAP1	NKI_330	-0.345
ACOT4	NKI_330	-0.566
YBX1	NKI_330	0.067
SOD2	NKI_330	0.316
MREG	NKI_330	-0.405
CDH3	NKI_330	0.322
C10orf38	NKI_330	0.349
RARRES1	NKI_330	0.782
ABTB2	NKI_330	0.031
RERG	NKI_330	-0.47
ST8SIA1	NKI_330	0.207
SIRPA	NKI_330	0.451
MICALL1	NKI_330	0.11
CDCA7	NKI_330	0.326
ERBB4	NKI_330	-0.473
QSCN6L1	NKI_330	0.103
CYP2B6	NKI_330	-1.031
CIRBP	NKI_330	-0.321
ERBB3	NKI_330	-0.38
CHCHD5	NKI_330	-0.22
LOC124220	NKI_330	-1.199
TMCC2	NKI_330	0.685
DACH1	NKI_330	-0.441
HMGCL	NKI_330	-0.15
NCOA7	NKI_330	0.439
FSCN1	NKI_330	0.545
KCNN4	NKI_330	0.476
CPEB2	NKI_330	-0.48
CYP2B6	NKI_330	-0.978
AKR7A3	NKI_330	-0.843
FLJ20273	NKI_330	-0.358
JMJD2B	NKI_330	-0.08
CDK2AP1	NKI_330	0.06
HEXIM1	NKI_330	-0.207
SH2D2A	NKI_330	0.395
IFNAR2	NKI_330	0.25
ASNS	NKI_330	0.033
MLZE	NKI_330	0.407
SKP1A	NKI_330	-0.206
MYO5C	NKI_330	-0.567
APOBEC3B	NKI_330	0.206
LRBA	NKI_330	-0.155
UBXD3	NKI_330	-0.471
DSC2	NKI_330	0.191
TEGT	NKI_330	-0.43
EML4	NKI_330	0.26
KARCA1	NKI_330	-0.665
GATA3	NKI_331	-0.192
CA12	NKI_331	-0.032
THSD4	NKI_331	-0.238
AFF3	NKI_331	-0.294
TBC1D9	NKI_331	-0.126
FOXA1	NKI_331	-0.277
GREB1	NKI_331	-0.137
DNALI1	NKI_331	0.286
VGLL1	NKI_331	-0.685
PRR15	NKI_331	0.06
SLC7A2	NKI_331	-0.425
XBP1	NKI_331	-0.181
SCUBE2	NKI_331	0.277
MYB	NKI_331	-0.242
B3GNT5	NKI_331	-0.228
CELSR1	NKI_331	0.018
NAT1	NKI_331	-0.178
MAGED2	NKI_331	0.075
VAV3	NKI_331	-0.206
FBP1	NKI_331	0.19
BCL11A	NKI_331	-0.3
SOD2	NKI_331	-0.05
AGR2	NKI_331	0.155
ERBB4	NKI_331	-0.326
TNFRSF21	NKI_331	-0.087
PHGDH	NKI_331	0.292
TFF3	NKI_331	0.017
STS-1	NKI_331	-0.038
TCEAL1	NKI_331	0.114
GABRP	NKI_331	-0.538
FLJ21127	NKI_331	-0.04
BCL2	NKI_331	-0.159
MOAP1	NKI_331	-0.072
ACOT4	NKI_331	0.106
YBX1	NKI_331	-0.091
SOD2	NKI_331	-0.081
MREG	NKI_331	0.017
CDH3	NKI_331	-0.617
C10orf38	NKI_331	-0.291
RARRES1	NKI_331	-0.35
ABTB2	NKI_331	-0.074
RERG	NKI_331	-0.314
ST8SIA1	NKI_331	-0.042
SIRPA	NKI_331	-0.034
MICALL1	NKI_331	-0.105
CDCA7	NKI_331	0.099
ERBB4	NKI_331	-0.216
QSCN6L1	NKI_331	0.189
CYP2B6	NKI_331	-0.849
CIRBP	NKI_331	-0.017
ERBB3	NKI_331	-0.004
CHCHD5	NKI_331	0.178
LOC124220	NKI_331	0.081
TMCC2	NKI_331	-0.02
DACH1	NKI_331	-0.155
HMGCL	NKI_331	-0.032
NCOA7	NKI_331	0.051
FSCN1	NKI_331	-0.132
KCNN4	NKI_331	-0.408
CPEB2	NKI_331	-0.08
CYP2B6	NKI_331	-0.823
AKR7A3	NKI_331	-0.251
FLJ20273	NKI_331	0.056
JMJD2B	NKI_331	0.041
CDK2AP1	NKI_331	-0.224
HEXIM1	NKI_331	0.072
SH2D2A	NKI_331	0.035
IFNAR2	NKI_331	0.023
ASNS	NKI_331	0.204
MLZE	NKI_331	-0.038
SKP1A	NKI_331	-0.003
MYO5C	NKI_331	-0.351
APOBEC3B	NKI_331	-0.014
LRBA	NKI_331	-0.028
UBXD3	NKI_331	0.086
DSC2	NKI_331	-0.294
TEGT	NKI_331	0.148
EML4	NKI_331	0.042
KARCA1	NKI_331	0.101
GATA3	NKI_332	-0.965
CA12	NKI_332	-1.239
THSD4	NKI_332	-0.454
AFF3	NKI_332	-1.001
TBC1D9	NKI_332	-0.668
FOXA1	NKI_332	-1.914
GREB1	NKI_332	-1.263
DNALI1	NKI_332	-1.135
VGLL1	NKI_332	0.827
PRR15	NKI_332	-1.008
SLC7A2	NKI_332	-1.278
XBP1	NKI_332	-0.284
SCUBE2	NKI_332	-1.265
MYB	NKI_332	-0.94
B3GNT5	NKI_332	0.504
CELSR1	NKI_332	-0.656
NAT1	NKI_332	-1.24
MAGED2	NKI_332	-0.299
VAV3	NKI_332	-0.632
FBP1	NKI_332	-0.402
BCL11A	NKI_332	0.162
SOD2	NKI_332	0.364
AGR2	NKI_332	-1.443
ERBB4	NKI_332	-1.195
TNFRSF21	NKI_332	0.483
PHGDH	NKI_332	0.277
TFF3	NKI_332	-1.501
STS-1	NKI_332	0.425
TCEAL1	NKI_332	-0.19
GABRP	NKI_332	0.749
FLJ21127	NKI_332	-0.153
BCL2	NKI_332	-0.53
MOAP1	NKI_332	-0.192
ACOT4	NKI_332	-0.534
YBX1	NKI_332	0.029
SOD2	NKI_332	0.367
MREG	NKI_332	-0.19
CDH3	NKI_332	0.395
C10orf38	NKI_332	0.21
RARRES1	NKI_332	0.921
ABTB2	NKI_332	0.47
RERG	NKI_332	-1.024
ST8SIA1	NKI_332	0.035
SIRPA	NKI_332	0.361
MICALL1	NKI_332	0.393
CDCA7	NKI_332	0.19
ERBB4	NKI_332	-0.663
QSCN6L1	NKI_332	0.095
CYP2B6	NKI_332	-1.278
CIRBP	NKI_332	-0.306
ERBB3	NKI_332	-0.263
CHCHD5	NKI_332	-0.127
LOC124220	NKI_332	-0.291
TMCC2	NKI_332	0.305
DACH1	NKI_332	-0.777
HMGCL	NKI_332	-0.23
NCOA7	NKI_332	0.626
FSCN1	NKI_332	0.153
KCNN4	NKI_332	0.653
CPEB2	NKI_332	-0.44
CYP2B6	NKI_332	-1.175
AKR7A3	NKI_332	-1.183
FLJ20273	NKI_332	-0.27
JMJD2B	NKI_332	-0.596
CDK2AP1	NKI_332	0.049
HEXIM1	NKI_332	-0.201
SH2D2A	NKI_332	0.415
IFNAR2	NKI_332	0.682
ASNS	NKI_332	0.127
MLZE	NKI_332	0.188
SKP1A	NKI_332	-0.228
MYO5C	NKI_332	-0.16
